Идентификатор,Заголовок,Описание,"Дата публикации",Рейтинг,"Кол-во лайков","Кол-во комментариев","Название места","Адрес места","Локация места",Ссылка
51714,"Грибники из Петербурга и Ленобласти хвастаются полными корзинами","<p>Заморозки тихой охоте не помеха.</p>",2024,10,15,,,,,
0.5,0,0,,,,"https://kudago.com/spb/news/gribniki-iz-peterburga-i/",,,,
51713,"Роман с призраком: рецензия на фильм «Сидони в Японии»","<p>Кинопрокат радует фестивальными новинками. На этот раз на больших экранах можно увидеть ленту с недавнего Венецианского кинофестиваля — фильм Элиз Жирар с Изабель Юппер, Цуёси Ихара и Аугустом Дилем в главных ролях. Медленная драма о скорби и спокойной любви — то, что нужно этой осенью. О прелестях и тонкостях этой чудесной работы читайте в нашей рецензии. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про <a href=""https://kudago.com/spb/kino/"" target=""_blank"" title=""киноафиша ""><u>кино</u></a>.</p>",2024,10,15,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/retsenziya-na-film-sidoni-v-yaponii/",,,,
51710,"В Ленобласти спасают лисицу с переломами передних лап","<p>Её ждёт операция.</p>",2024,10,15,,,,,
0.5,0,0,,,,"https://kudago.com/spb/news/v-lenoblasti-vyihazhivayut-lisa-s/",,,,
51709,"В России могут запретить выступления животных в цирке","<p>Закон рассмотрят в ноябре.</p>",2024,10,14,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/v-rossii-mogut-zapretit-vystupleniya-zhivotnyh-v-cirke/",,,,
51708,"Между Москвой и Петербургом начнёт ходить двухэтажная «Аврора»","<p>Её запустят в конце года.</p>",2024,10,14,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/mezhdu-moskvoj-i-sankt-14-10-2024/",,,,
51707,"Идёт работа над новым сериалом про Штирлица","<p>Съёмки могут стартовать следующим летом.</p>",2024,10,14,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/idyot-rabota-nad-novyim-serialom/",,,,
51706,"Котят нашли в коробке с чипсами","<p>Их уже пристроили в хорошие руки.</p>",2024,10,14,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/kotyat-nashli-v-korobke-s-chipsami/",,,,
51703,"В Петербурге благоустроили берега Верхнего Суздальского озера","<p>На территории появилась инфраструктура для маломобильных горожан.</p>",2024,10,14,,,,,
0.5,0,0,,,,"https://kudago.com/spb/news/v-peterburge-blagoustroili/",,,,
51704,"В октябре можно будет наблюдать суперлуние","<p>Оно станет главным и последним в этом году.</p>",2024,10,14,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/v-oktyabre-mozhno-budet-nablyudat/",,,,
51702,"Одноклассники запускают уникальное научпоп-шоу про садоводство","<p>В нём расскажут, как получить высокий урожай при помощи современных технологий.</p>",2024,10,14,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/odnoklassniki-zapuskayut/",,,,
51701,"В Петербурге и Ленобласти перешли на регулярное отопление","<p>В связи с понижением температуры.</p>",2024,10,14,,,,,
0.5,0,0,,,,"https://kudago.com/spb/news/v-peterburge-i-lenoblasti-regulyarnoe-otoplenie/",,,,
51700,"В Петербурге ждут бабье лето","<p>А в Ленобласти снег.</p>",2024,10,14,,,,,
0.5,0,0,,,,"https://kudago.com/spb/news/v-peterburge-zhdut-babe-leto/",,,,
